id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
1,De Knok,Egelantierstraat- Bissegem,Complete,CLOSED,/001 - De Knok,3034,Popp Remastered,3.231963577,50.83042679
2,Hoeve Sobry,Seringlaan 8500,Disappeared,X,,6312,Popp Remastered,3.289220022,50.82474786
3,Klessenaere,Firmin Deprezlaan 8500,Disappeared,X,,5551,Popp Remastered,3.284471855,50.82305282
4,Blauwe Hoeve,Emmanuel Vi�rinwandeling- Kortrijk,Complete,CLOSED,/004 - Blauwe Hoeve,8829,Popp Remastered,3.271687694,50.81664531
5,Goed Ter Bede,12- Guldensporenpad- Kortrijk,Complete,CLOSED,/005 - Goed Ter Bede Kasteel van Surmont,11529,Popp Remastered,3.304737139,50.82274241
6,Goed te Cattebeke ,Oudenaardsesteenweg- Zwevegem EVOLIS,Complete,OPEN,/006 - Goed te Cattebeke 2 Bar Botaniek,8788,Popp Remastered,3.312152792,50.81753299
7,Kasteel van Marke,Kasteeldreef- Marke 8510,Incomplete,X,/007 - Kasteel van Marke,,Satellite,3.241815686,50.82086353
8,Heerlijkheid van Heule ,53- Zeger van Heulestraat- Heule,Complete,OPEN,/008 - Heerlijkheid van Heule,14881,Popp Remastered,3.238008945,50.84637287
9,Vierschaar ten Akker,9 Vierschaar ten Akker ,Complete,CLOSED,/009 - Vierschaar ten Akker _ Wilderness,10049,Popp Remastered,3.282760307,50.82541051
10,,Athena campus Heule- 10- Guido Gezellelaan- Heule 8501,Disappeared,X,,3495,Popp Remastered,3.240274876,50.83310333
11,De Blauwpoorte,Moorseelsestraat- Heule,Complete,CLOSED,,9816,Popp Remastered,3.243933454,50.83431368
12,,Kransvijver- Heule 8501,Disappeared,X,/011 - De Blauwpoorte,6154,Popp Remastered,3.230954213,50.83904473
13,Ter Mote (next to the parc),Izegemsestraat- Heule 8501,Incomplete,X,/013 - Ter Mote,10879,Popp Remastered,3.253254116,50.84853289
14,,Kongostraat- Kuurne,Disappeared,X,,6038,Popp Remastered,3.265533056,50.84944179
15,,Kongostraat- Kuurne,Disappeared,X,,5471,Popp Remastered,3.262192371,50.85013801
16,,Tuur matras- 2- Noordlaan- Kuurne,Disappeared,X,,3392,Popp Remastered,3.259240891,50.8565162
17,Chateau de Madame Piers,Nieuwenhuyse- Sint-Pieter- Kuurne,Disappeared,X,,13896,Popp Remastered,3.277711963,50.8555539
18,Hoeve Vandewalle,168- Boomgaardstraat- Kuurne,Complete,CLOSED,/18 - Hoeve Vandewalle,9940,Popp Remastered,3.271565751,50.85256449
19,,Industrielaan- Heule- Kuurne,Disappeared,X,,4260,Popp Remastered,3.255705603,50.85762181
20,,Condruzenstraat- Kuurne,Incomplete,X,,4054,Popp Remastered,3.266295252,50.85202187
21,,Harelbekestraat- Kuurne,Disappeared,X,,6329,Popp Remastered,3.297123617,50.85123353
22,Groene Long,Verbindingsweg- Kuurne,Complete,CLOSED,/022 - Groene Long,5395,Popp Remastered,3.294415391,50.85617838
23,Le coq Harlembois,Waterzuivering Aquafin Harelbeke- Kortrijksesteenweg- Harelbeke 8530,Incomplete,X,/023 - Le Coq dIncompleteHarlembois,20745,Popp Remastered,3.288463781,50.84285782
24,Goed t Halle,26- Hazelaarsdreef- Harelbeke 8530,Disappeared,X,,14134,Popp Remastered,3.309302523,50.8407483
25,Kasteel van Maekere,Harelbeke 8530,Incomplete,X,/025 - Kasteel van Maekere,11909,Popp Remastered,3.293896449,50.83644704
26,,14- Tuinbouwstraat- Harelbeke 8530,Disappeared,X,,7769,Popp Remastered,3.290750367,50.83741998
27,,55- Venetielaan- Harelbeke 8530,Disappeared,X,,9389,Popp Remastered,3.301777873,50.83522828
28,,103- Berkenlaan- Harelbeke 8530,Disappeared,X,,9901,Popp Remastered,3.29757769,50.83912001
29,,Kollegelaan- Harelbeke 8530,Disappeared,X,,5748,Popp Remastered,3.300756207,50.84024651
30,,57- Dennenlaan- Harelbeke 8530,Disappeared,X,,7016,Popp Remastered,3.304713135,50.84334935
31,,Texaco- 58- Venetielaan- Harelbeke 8530,Disappeared,X,,5322,Popp Remastered,3.299393985,50.83353834
32,,R8- Harelbeke 8530,Disappeared,X,,10068,Popp Remastered,3.293864016,50.83393779
33,Het Goed te Gaver,Visserskaai- Stasegem- Harelbeke 8530,Disappeared,X,,9120,Popp Remastered,3.299588588,50.8277204
34,Goed Incompletet Gehuchte / Massureel Hoeve,Hoevestraat 8500,Incomplete,X,,5299,Popp Remastered,3.29199907,50.8318381
35,,Spoorbermstraat 8500,Incomplete,X,,7230,Popp Remastered,3.288804337,50.83208393
36,,Schilderstraat 8500,Complete,X,,3817,Popp Remastered,3.281636458,50.83346665
37,,Politieke Gevangenenstraat- Stasegem- Harelbeke 8530,Disappeared,X,,8270,Popp Remastered,3.308734931,50.83431674
38,,Politieke Gevangenenstraat- Stasegem- Harelbeke 8530,Disappeared,X,,9693,Popp Remastered,3.302215729,50.83273944
39,Hoeve Foulon,19- Acacialaan- Harelbeke 8530,Disappeared,X,,6143,Popp Remastered,3.307991052,50.83649191
40,Hoeve Eeckhout,Hermelijnstraat- Stasegem- Harelbeke 8530,Incomplete,X,,11176,Popp Remastered,3.318795054,50.82998531
41,Te Coralele Goed,Evolis- Evolis Business Park- Harelbeke 8530,Disappeared,X,,3342,Popp Remastered,3.309496744,50.82154206
42,,Abdijkaai- Vlaanderenkaai- Begijnhof Sint-Elisabeth 8500,Disappeared,X,,7070,Popp Remastered,3.274258262,50.83363913
43,,Athena De Wijzer campus Pottelberg- 4- Burgemeester Felix de Bethunelaan 8500,Disappeared,X,,8740,Popp Remastered,3.256005045,50.82074104
44,Buitengoed Patersmote,Albert Servaeswandeling 8500,Complete,X,/044 - Buitengoed Patersmote,6163,Popp Remastered,3.244276495,50.82364467
45,Goed t hoogte Mosschere,Anne Frankstraat 8500,Complete,X,,6818,Popp Remastered,3.25518616,50.81494993
46,,Hof te Walle- Hoog Kortrijk 8500,Disappeared,X,,14608,Popp Remastered,3.272778985,50.81094413
47,,E17- Hoog Kortrijk 8500,Disappeared,X,,9377,Popp Remastered,3.267548686,50.80618679
48,Domein van Walle,Bruyningstraat 8500,Complete,X,,5250,Popp Remastered,3.260442875,50.80837355
49,De Bethune,Groeningebosstraat- Marke 8510,Complete,X,/049 - DeBethune private house,6461,Popp Remastered,3.229193157,50.80538551
50,Vierschaar ten Akker,Preshoekbos- Watervalstraat- Marke 8510,Incomplete,X,,5885,Popp Remastered,3.229668638,50.79892466
51,Landhuis Delacroix,Sint-Anna 8500,Complete,X,/051 - Landhuis Delacroix,5512,Popp Remastered,3.248687909,50.79693781
52,,Preshoekstraat- Marke 8510,Disappeared,X,,4269,Popp Remastered,3.226366682,50.79663727
53,Hoeve Goed te Tollenaers,Gladiatorenstraat- Marke 8510,Incomplete,CLOSED,/053 - Arenastraat,10666,Popp Remastered,3.222562827,50.79707138
54,,Sint-Margriete-Houtemlaan- Hoog Kortrijk 8500,Disappeared,X,,4857,Popp Remastered,3.279805549,50.8134311
55,t Morinne Goed,Zwaluwenlaan 8500,Disappeared,X,,6157,Popp Remastered,3.300594669,50.8141321
56,Ferme Soubry,Morinnestraat 8500,Incomplete,X,,8310,Popp Remastered,3.308070299,50.81304721
58,,Kastanjeboomlaan 8500,Disappeared,X,,6468,Popp Remastered,3.283054675,50.81469957
59,Ten Ackerpark,Andr� Devaerelaan 8500,Disappeared,CLOSED,/059 - Ten Ackerpark,5457,Popp Remastered,3.27779796,50.82035721
60,Goed te Gorghem,VIVES - Campus Kortrijk- Etienne Sabbelaan- Hoog Kortrijk 8500,Incomplete,CLOSED,/060 - Goed te Gorghem Vives Innovation Center,8342,Popp Remastered,3.289051028,50.80516849
61,,Goed Ten houte- 31- Ten Houtedreef 8500,Incomplete,X,,,Ferraris,3.291824672,50.7954017
62,,Evangelieboomstraat- Zwevegem 8550,Incomplete,X,,5478,Popp Remastered,3.309179756,50.7954017
63,Schellebrouck,Morinnestraat 8500,Incomplete,X,,1426,Popp Remastered,3.313142104,50.80578615
64,Neer mon foie,32- Bad Godesberglaan 8500,Incomplete,X,,,Ferraris,3.306960841,50.80361596
65,Lang Water Ferme,Q8- 216- Kortrijkstraat- Zwevegem 8550,Incomplete,X,,6404,Popp Remastered,3.310394876,50.81496662
66,Ferme Coopens,Luipaardstraat- Zwevegem 8550,Disappeared,X,,6534,Popp Remastered,3.314172315,50.81725311
67,Hoeve te Coucx ,30- Marionetten- Marke,Incomplete,OPEN,/067 - Hoeve Te Coucx Doerak,7115,Popp Remastered,3.261523121,50.80210419
68,Ferme Delcour,111- Schonekeerstraat- Boerderij Vanfleteren- Lauwe- Menen 8930,Disappeared,X,,9053,Popp Remastered,3.199420701,50.80307225
69,Ferme Nuyttens / Hoeve Delaere,Hoeve Delaere- Oudstrijderlaan- Lauwe- Menen 8930,Disappeared,X,,24952,Popp Remastered,3.196238531,50.79850137
70,Ferme Vanneste,237- Lauwbergstraat- Lauwe- Menen 8930,Incomplete,CLOSED,,9272,Popp Remastered,3.205437895,50.79700202
71,De Knock Menen,61- Spoorwegstraat- Lauwe- Menen 8930,Incomplete,X,,4558,Popp Remastered,3.199594274,50.7920648
72,Ferme Lerouge / Het Huisartsenhuis,Tom Buyse- Lauwbergstraat- Lauwe- Menen 8930,Incomplete,X,,6504,Popp Remastered,3.201563235,50.79546353
74,,165- Grote Molenstraat- Lauwe- Menen 8930,Incomplete,X,,8513,Popp Remastered,3.190191165,50.78777059
75,,Beaulieustraat- Lauwe- Menen 8930,Incomplete,X,,8641,Popp Remastered,3.188742233,50.78630991
76,,Larstraat- Lauwe- Menen 8930,Disappeared,X,,7492,Popp Remastered,3.184904521,50.78648322
77,,206- Larstraat- Lauwe- Menen 8930,Complete,X,,8136,Popp Remastered,3.183964673,50.78769632
78,,Sicoplan- Koningin Astridlaan- Lauwe- Menen 8930,Incomplete,X,,3348,Popp Remastered,3.184160475,50.79888514
79,Hoeve en kapel,288- Dronckaertstraat- Lauwe- Menen 8930,Complete,CLOSED,,6515,Popp Remastered,3.183204774,50.77767598
80,Dronckaertstraat,80- Oude Aalbeeksestraat- Lauwe- Menen 8930,Incomplete,CLOSED,,11165,Popp Remastered,3.203434998,50.78284978
81,Kasteelhoeve,89- Rekkemstraat- Lauwe- Menen 8930,Incomplete,CLOSED,,7424,Popp Remastered,3.17613329,50.79218585
84,,56- Cyriel Verschaevestraat- Marke 8510,Incomplete,X,,7268,Popp Remastered,3.238490555,50.78498928
85,Het Armengoed,Ghellinckdreef- Bissegem,Incomplete,CLOSED,/085 - Het Armengoed,21468,Popp Remastered,3.223033632,50.82927829
86,,R8- Bissegem 8501,Disappeared,X,,3650,Popp Remastered,3.227972157,50.81977165
87,Hof te Bissegem (of ST Omaarsgoed),R8- Bissegem 8501,Disappeared,X,/087 - Hof te Bissegem (of ST Omaarsgoed),7806,Popp Remastered,3.229257927,50.81846088
88,Leiedal ,Kruiskouter - Bissegem,Incomplete,OPEN,/088 - Leidal,7042,Popp Remastered,3.222799856,50.8165408
89,Goed te Gomaers,Dappaardstraat- Bissegem 8501,Incomplete,X,/089 - Goed te Gomaers,10892,Popp Remastered,3.208539501,50.82890914
90,Hoeve te Dappaert,Dappaardstraat- Bissegem 8501,Incomplete,X,/090 - Hoeve te Dappaert,7698,Popp Remastered,3.21210459,50.83062568
91,,Gullegemsesteenweg- Bissegem 8501,Disappeared,X,,2935,Popp Remastered,3.216137231,50.83127167
92,Klokhof,Masurestraat- Bissegem 8501,Disappeared,X,,20120,Popp Remastered,3.226397241,50.82957015
93,Ter Houppie,Burgemeester Vantommestraat- Bissegem 8501,Incomplete,X,/093 - Ter Houppie,8282,Popp Remastered,3.226250794,50.83344472
94,Goed te Zevenkamer,Ringlaan- Heule 8501,Disappeared,X,/412 - Goed te Zevenkamer,5396,Popp Remastered,3.228056978,50.84829259
95,,93- Torrestraat- Gullegem- Wevelgem,Disappeared,X,,4710,Popp Remastered,3.215381148,50.85067602
96,,53- Pijplap- Gullegem- Wevelgem,Disappeared,X,,7261,Popp Remastered,3.214258386,50.84725493
97,Hoeve 't Goet te Walle,117- Heulestraat- Gullegem- Wevelgem,Incomplete,X,,12752,Popp Remastered,3.216227288,50.84362809
98,t Goet te Wynckele,Dwarsschuur van t Goet te Wynckele- Peperstraat- Gullegem- Wevelgem,Incomplete,CLOSED,,9392,Popp Remastered,3.206057336,50.84371029
99,Oude Pastorie,Gullegem- Wevelgem,Complete,CLOSED,/099 - Oude Pastorie Gullegem,5785,Popp Remastered,3.205796985,50.84125457
100,,42- Tombroekdreef- Gullegem- Wevelgem,Incomplete,X,,6631,Popp Remastered,3.199516022,50.83080347
102,,53- Vanneputstraat- Wevelgem,Incomplete,X,,5542,Popp Remastered,3.199450934,50.82603444
103,,91- Bieststraat- Wevelgem 8501,Incomplete,X,,7108,Popp Remastered,3.20246124,50.82644558
104,,1- Vanneputstraat- Wevelgem,Incomplete,X,,3337,Popp Remastered,3.195252778,50.82434872
105,,150- Heerweg- Moorsele- Wevelgem,Incomplete,X,,4794,Popp Remastered,3.182010503,50.83396804
106,,69- Schoonwater- Gullegem- Wevelgem,Incomplete,X,,8529,Popp Remastered,3.205135052,50.83340161
107,,33- Vijverlaan- Gullegem- Wevelgem,Incomplete,X,,4939,Popp Remastered,3.215655025,50.83742774
108,Bulscamphoeve,27- Hemelhofweg- Gullegem- Wevelgem,Complete,CLOSED,,4272,Popp Remastered,3.194615079,50.83999939
109,,6- Incompletet Hoveke- Gullegem- Wevelgem,Disappeared,X,,5676,Popp Remastered,3.20695302,50.85268717
110,,Winkelsestraat- Sint-Eloois-Winkel- Lendelede 8860,Disappeared,X,,7128,Popp Remastered,3.199486217,50.8822513
111,,Lendelede 8860,Incomplete,X,,7820,Popp Remastered,3.20349248,50.88990451
112,,Beiaardstraat- Lendelede 8860,Disappeared,X,,4505,Popp Remastered,3.222796291,50.88106019
113,,Lendelede Burgemeester G.Dussartlaan- Heulsestraat- De Knok- Lendelede 8860,Disappeared,X,,5786,Popp Remastered,3.238969216,50.87441641
114,,Kortrijksestraat- De Knok- Lendelede 8860,Disappeared,X,,4066,Popp Remastered,3.230274524,50.88069531
115,,Recyclagepark IVIO Lendelede- 1- Langemuntelaan- De Knok- Lendelede 8860,Incomplete,X,,4263,Popp Remastered,3.23196959,50.88353878
116,,Ingelmunstersestraat- Spoelewielen- Lendelede 8860,Incomplete,X,,1362.230762,Popp Remastered,3.240285385,50.8953386
117,Rattenkasteel,Hula- 2- Wittestraat- Heule 8510,Complete,X,/117 - Klein Reinsakker Hula Restaurant,8945,Popp Remastered,3.239886439,50.84969337
118,Goed te Grysperre,Grysperrestraat- Heule 8501,Incomplete,X,,15826,Popp Remastered,3.227725458,50.85906547
119,De Oud Roteij,Vlasrootstraat- Heule 8501,Disappeared,X,/119 - De Oud Roterij,5227,Popp Remastered,3.225119534,50.85093977
120,,Saey- Industrielaan- Heule 8501,Disappeared,X,,30093,Popp Remastered,3.247427827,50.8551025
121,St. Joris-Bachterelst,Izegemsestraat- Sint-Katharina- Heule 8501,Disappeared,X,/121 - St Joris-Bachterelst,8398,Popp Remastered,3.243479456,50.86726451
122,,Haantjesstraat- Lendelede,Complete,X,,7909,Popp Remastered,3.25982571,50.87536246
123,,Sint-Katriensteenweg- Sint-Pieter- Kuurne,Disappeared,X,,3553,Popp Remastered,3.265550847,50.86093468
124,,Molenput- Sint-Pieter- Kuurne,Disappeared,X,,3577,Popp Remastered,3.273052751,50.86504668
125,,Papaversstraat- Sint-Pieter- Kuurne,Disappeared,X,,6661,Popp Remastered,3.276922154,50.8648224
126,,Sint-Katriensteenweg- Kuurne,Incomplete,X,,,Popp Remastered,3.248572854,50.87037928
127,t Erfgoed,Sint-Katriensteenweg- Kuurne,Disappeared,X,/127 - Incompletet Erfgoed,3089,Popp Remastered,3.254061089,50.86741403
128,,Magerstraat- Sint-Katharina- Heule 8501,Incomplete,X,,4555,Popp Remastered,3.22920959,50.87026331
129,Groot Reinsakker,Groenestraat- Heule 8501,Disappeared,X,/129 - Groot Reinsakker,8964,Popp Remastered,3.238273769,50.85542689
131,,Heule Grijsperre- Mellestraat- Heule 8501,Incomplete,X,,,Ferraris,3.226569705,50.85537341
132,,Vaernewyck- Sint-Katharina- Heule 8501,Disappeared,X,,2326.911616,Popp Remastered,3.236595081,50.86842477
133,,Noen- Izegemsestraat- Heule Belgie / Belgique / Belgien,Disappeared,X,,3241.257374,Popp Remastered,3.240589566,50.87104449
134,,Bessenlaan 8500,Disappeared,X,,4539,Popp Remastered,3.275051795,50.83782989
136,,Koning Boudewijnstraat- Sint-Pieter- Kuurne,Disappeared,X,,3452,Popp Remastered,3.281513462,50.86208494
137,,Rijksweg- Sint-Pieter- Bavikhove- Kuurne,Disappeared,X,,5557,Popp Remastered,3.285096751,50.86717665
138,,Molenvang- Sint-Pieter- Kuurne,Disappeared,X,,3766,Popp Remastered,3.272662936,50.86690477
139,,Sint-Katriensteenweg- Sint-Pieter- Kuurne,Incomplete,X,,8131,Popp Remastered,3.261560615,50.86403765
140,,Pieter Vinckestraat- Kuurne,Incomplete,X,,6368,Popp Remastered,3.264106121,50.87122985
141,,N36- Bavikhove- Kuurne,Disappeared,X,,6357,Popp Remastered,3.280769392,50.87335516
142,,Asselstraat- Bavikhove- Harelbeke,Incomplete,X,,6461,Popp Remastered,3.298842481,50.87000651
143,,Harelbeke 8530,Disappeared,X,,5924,Popp Remastered,3.298959966,50.85934111
144,,Harelbeke 8530,Disappeared,X,,3413,Popp Remastered,3.300291461,50.85725224
145,,Mipa Frost- 44- Europastraat- Bavikhove- Harelbeke,Incomplete,X,,7856,Popp Remastered,3.313802221,50.86999415
146,Goed te Beaulieu,Sint-Jansstraat 128 Waregem,Incomplete,CLOSED,,7051,Popp Remastered,3.326588491,50.87655531
147,,Doornhoutsevoetweg- Hulste- Harelbeke,Incomplete,X,,5123,Popp Remastered,3.302660739,50.88066946
148,,Oostrozebeeksestraat- Hulste- Harelbeke,Incomplete,X,,28696,Popp Remastered,3.304050977,50.88593209
149,,112-114- Hoogstraat- Bavikhove- Harelbeke,Incomplete,X,,9696,Popp Remastered,3.323573046,50.88546267
150,,Helleput- Hulste- Harelbeke,Disappeared,X,,3136,Popp Remastered,3.308162947,50.88346144
151,,2- Pontstraat- Beveren-Leie- Waregem,Complete,X,,4359,Popp Remastered,3.332012376,50.86796754
152,,23- Spijkerlaan- Beveren-Leie- Harelbeke,Incomplete,X,,9711,Popp Remastered,3.33526279,50.86622508
153,,Ringlaan- Harelbeke 8530,Incomplete,X,,9428,Popp Remastered,3.326510167,50.86235684
154,,70- Lissebroek- Harelbeke 8530,Incomplete,X,,7887,Popp Remastered,3.336633447,50.86113327
155,,142- Harelbekestraat- Deerlijk,Disappeared,X,,5607,Popp Remastered,3.3398447,50.85380354
156,Goed te Gavere,21- Theo Nuyttenslaan- Deerlijk,Incomplete,CLOSED,,12202,Popp Remastered,3.330994173,50.84718973
157,,64-66- Stationstraat- Deerlijk,Disappeared,X,,4496,Popp Remastered,3.351436541,50.85039167
158,,18- Roterijstraat- Deerlijk,Incomplete,X,,5111,Popp Remastered,3.347109181,50.84976119
159,t Gaverkasteel Deerlijk,Gaverkasteel- 24- Vercruysse de Solartstraat- Deerlijk,Incomplete,CLOSED,,6749,Popp Remastered,3.3538254,50.84611412
160,,4- Kapel ter Rustestraat- Deerlijk,Disappeared,X,,5307,Popp Remastered,3.354451986,50.85151663
161,,49- Beverenstraat- Deerlijk,Disappeared,X,,4822,Popp Remastered,3.349713429,50.85667129
162,,19- Albertpad- Deerlijk,Disappeared,X,,10689,Popp Remastered,3.354863183,50.85967483
163,,37- Pikkelstraat- Deerlijk,Disappeared,X,,4988,Popp Remastered,3.35503941,50.85922987
164,,30- Wagenaarstraat- Beveren-Leie- Harelbeke,Incomplete,X,,6867,Popp Remastered,3.343369246,50.86166472
165,,153- Spijkerlaan- Beveren-Leie- Deerlijk,Disappeared,X,,5648,Popp Remastered,3.350477081,50.86102203
166,,51- Driesknoklaan- Deerlijk,Incomplete,X,,10594,Popp Remastered,3.363028381,50.8623692
167,,141- Desselgemstraat- Deerlijk,Incomplete,X,,7481,Popp Remastered,3.368119392,50.86402529
168,,44- Desselgemstraat- Deerlijk,Incomplete,X,,4071,Popp Remastered,3.370880286,50.86040406
