id,Name,Adress,MOAT SITUATION,OMD,File link,Water  Area (SQM),Map Of Index,x,y
349,,21- Deerlijkstraat- De Knok- Vichte- Anzegem 8570,Incomplete,X,,12231,Popp Remastered,3.394644355,50.83944585
350,,52- Pladijsstraat- Statiewijk- Deerlijk,Disappeared,X,,3682,Popp Remastered,3.354095806,50.83280303
351,,12- Kleine Brandstraat- Harelbeke- Zwevegem 8530,Incomplete,X,,8740,Popp Remastered,3.346338464,50.83167366
352,,15- Sint-Elooistraat- Statiewijk- Deerlijk,Incomplete,X,,5633,Popp Remastered,3.354595432,50.83879821
353,,8- Kleine Tapuitstraat- Statiewijk- Deerlijk,Incomplete,X,,7325,Popp Remastered,3.352886187,50.84289974
354,,59- Gaversstraat- Deerlijk,Disappeared,X,,2685,Popp Remastered,3.347653268,50.84444394
355,,Lamett Europe NV- 2- Ter Donkt- Deerlijk,Disappeared,X,,2780,Popp Remastered,3.363667578,50.8460213
356,,54- Vichtestraat- Deerlijk,Incomplete,X,,3549,Popp Remastered,3.366428666,50.85297766
357,,30- Oudenaardsestraat- Harelbeke 8530,Incomplete,X,,8183,Popp Remastered,3.339580373,50.83413167
358,,114- Ellestraat- Knokke- Zwevegem 8550,Disappeared,X,,4398,Popp Remastered,3.356488749,50.80499259
359,,Stampkotstraat- Heestert- Zwevegem 8551,Disappeared,X,,3621,Popp Remastered,3.406398701,50.79315899
360,,Kloosterstraat- Heestert- Zwevegem 8551,Complete,X,,2600,Popp Remastered,3.423123005,50.7909648
361,,Veldstraat- Otegem- Zwevegem 8553,Incomplete,X,,2462,Popp Remastered,3.433010329,50.7952866
362,,47- Zwevegemstraat- Ingooigem- Anzegem 8570,Incomplete,X,,3469,Popp Remastered,3.419168576,50.81459371
363,,31- Evarist De Coninckstraat- Te Bosterhout- Waregem,Complete,X,,3300,Popp Remastered,3.395495593,50.86344366
365,,31-35E- Keukeldam- Waregem,Incomplete,X,,5332,Popp Remastered,3.435280237,50.88865699
366,Park Baron Casier ,34-stationsstraat- Waregem,Complete,OPEN,/366 - Kasteel Casier,14690,Popp Remastered,3.433398092,50.88827486
368,,47- Putmanstraat- Waregem,Disappeared,X,,1447,Popp Remastered,3.431234708,50.89280557
369,,47- Putmanstraat- Waregem,Disappeared,X,,1824,Popp Remastered,3.431104904,50.89320131
370,,35- Guldensporenlaan- Waregem,Disappeared,X,,4136,Popp Remastered,3.414273772,50.89947801
371,,Muizelstraat- Hulste- Harelbeke,Incomplete,X,,4110,Popp Remastered,3.295411273,50.90017319
372,,Begonialaan- Hulste- Harelbeke,Disappeared,X,,9430,Popp Remastered,3.291804954,50.88552937
373,,Abtsulstraat- Hulste- Harelbeke,Incomplete,X,,3089,Popp Remastered,3.280635383,50.88796243
374,,Brugsestraat- Hulste- Harelbeke,Complete,X,,3013,Popp Remastered,3.277580029,50.88249577
375,,Kwadestraat- Hulste,Incomplete,X,,4497,Popp Remastered,3.278656916,50.87943037
376,Goed te Vrijleghem,Kwadestraat- Harelbeke,Complete,CLOSED,/376 - Hoeve Vrijlegemhof Masureel,5323,Popp Remastered,3.280384944,50.87821364
377,,Barzestraat- Hulste- Harelbeke,Incomplete,X,,2623,Popp Remastered,3.286558403,50.8928086
378,,Blauwhuisstraat- Hulste- Harelbeke,Incomplete,X,,2606,Popp Remastered,3.287808716,50.88620579
379,,Tombroekstraat- Hulste- Harelbeke,Disappeared,X,,1998,Popp Remastered,3.306084089,50.89941569
380,,Hulstsestraat- Lendelede 8860,Incomplete,X,,4169,Popp Remastered,3.267950953,50.88491647
383,,Kennedypad- Hoog Kortrijk 8500,Disappeared,X,,10347,Popp Remastered,3.27190259,50.80128671
384,Goed te Steeland,Kwademeers- Bellegem- Zwevegem 8510,Incomplete,X,/384 - Goed te Steeland,6092,Popp Remastered,3.302805954,50.79474028
385,,22- Maandagweg 8500,Incomplete,X,,5047,Popp Remastered,3.289766134,50.81313244
386,,Kortrijk- West-Vlaanderen- Vlaanderen- 8500,Disappeared,X,,16849,Popp Remastered,3.265206387,50.81274955
387,,Priesteragestraat- Bellegem 8510,Incomplete,X,,2714,Popp Remastered,3.281358423,50.78105752
388,,Processiestraat- Bellegem 8510,Disappeared,X,,6296,Popp Remastered,3.292180941,50.78563647
389,,64- Stientjesstraat- Anzegem 8570,Incomplete,X,,10784,Popp Remastered,3.449891814,50.84044932
390,,66- Stientjesstraat- Anzegem 8570,Incomplete,X,,4047,Popp Remastered,3.452585709,50.83908008
391,,52- Grote Leiestraat- Anzegem 8570,Incomplete,X,,6440,Popp Remastered,3.465332427,50.84860166
392,,Kasteel Hemsrode- 3- Hemsrode- Anzegem 8570,Complete,X,,77446,Popp Remastered,3.477323541,50.84449455
393,,5- Nieuwpoortstraat- Anzegem 8570,Incomplete,X,,1405,Popp Remastered,3.468896909,50.83845769
394,,1- Balthazarstraat- Anzegem 8570,Incomplete,X,,3474,Popp Remastered,3.489314655,50.82910005
396,,3- Krommestraat- Anzegem 8570,Incomplete,X,,3206,Popp Remastered,3.485536633,50.82683298
397,,2- Oudepontstraat- Kaster- Anzegem 8572,Disappeared,X,,11762,Popp Remastered,3.48460034,50.82142684
398,,3- Tweehoeven- Tiegem- Anzegem,Incomplete,X,,10835,Popp Remastered,3.477339967,50.81589554
399,,Goed Te Corbie- 27- Varentstraat- Kaster- Anzegem 8570,Complete,X,,9792,Popp Remastered,3.499186791,50.81296876
400,,1- Bassegemstraat- Kaster- Anzegem 8572,Complete,X,,5026,Popp Remastered,3.486834301,50.81088255
401,,14- Kruisstraat- Kerkhove- Avelgem 8581,Complete,X,,6530,Popp Remastered,3.494078248,50.79856056
402,,2- Walstraat- Kerkhove- Avelgem 8581,Incomplete,X,,4979,Popp Remastered,3.488657607,50.80106259
403,,1- Neerkouter- Waarmaarde- Avelgem 8581,Incomplete,X,,3883,Popp Remastered,3.479935304,50.80055389
404,,Vierschaarstraat- Waarmaarde- Avelgem 8581,Disappeared,X,,3589,Popp Remastered,3.473611223,50.79802069
405,Goed te Bassegem,3- Blauwe Poortstraat- Waarmaarde- Avelgem 8581,Complete,X,,6615,Popp Remastered,3.474646073,50.79084599
406,,Balta Weaving- 205-237- Roterijstraat- Zone 5 Snepbeek- Sint-Eloois-Vijve- Waregem,Disappeared,X,,26285,Popp Remastered,3.401976637,50.89702476
407,,45- Roterijstraat- Wevelgem,Complete,X,/407 - Private House,5498.779595,Popp Remastered,3.183491612,50.81573315
409,Ter Melle,Hanssensdreef- Heule 8501,Incomplete,X,/409 - Ter Melle,2147,Popp Remastered,3.2342452,50.8452267
410,,Kasteelpark- Heule 8501,Incomplete,X,,1790,Popp Remastered,3.2333522,50.8433385
411,De Cransvijver,Donderbaardstraat- Bissegem 8501,Incomplete,X,/411 - De Cransvijver,3258,Popp Remastered,3.2348568,50.8324084
414,Goed te Bassegem,Wouter Schoutstraat- Heule 8501,Incomplete,X,/414 - Goed te Bassegem,1139,Popp Remastered,3.2211426,50.870529
415,Te Callewaerts,Athena campus Heule- 10- Guido Gezellelaan- Heule 8501,Incomplete,X,/415 - Te Callewaerts,1417,Popp Remastered,3.2395171,50.8350415
416,t Rijs,6- Roeselaarstuk- Heule 8501,Disappeared,X,/416 - t Rijs,3880,Popp Remastered,3.2220682,50.8488863
418,Goed ten Ackere,28- Argendaalstraat- Bellegem 8510,Incomplete,X,/418 - Goed ten Ackere,1358,Popp Remastered,3.3000064,50.7739077
420,s Waegenaers,Grotestraat- Bellegem 8510,Incomplete,X,/420 - Incompletes Waegenaers,3684,Popp Remastered,3.285963,50.760865
423,Goed ten Houte,Goed Ten houte- 31- Ten Houtedreef 8500,Incomplete,X,/423 - Goed ten Houte,,Ferraris,3.291747,50.7954098
424,Kortrijkbeek,Manpad- Bellegem 8510,Disappeared,X,/424 - Kortrijkbeek,2498,Popp Remastered,3.2860829,50.7901112
425,Hoeve De Priesterage,111- Deerlijkstraat - Zwevegem,Complete,OPEN,/425 - Hoeve De Priesterage,7145,Popp Remastered,3.3378442,50.818047
426,,4- Kruisstraat- Wevelgem,Complete,X,/426 - Michele,4649,Popp Remastered,3.166809,50.81244
427,Reynsakkerstraat,4- Reynsakkerstraat- Wevelgem,Complete,CLOSED,,2965,Popp Remastered,3.161814,50.812066
428,,138- Wijnbergstraat- Wevelgem,Incomplete,X,,9753,Popp Remastered,3.155943,50.813741
430,,19_2- Vliegveld- Wevelgem,Incomplete,X,,7388,Popp Remastered,3.197275461,50.81640368
431,,186A- Kozakstraat- Wevelgem,Incomplete,X,,3716,Popp Remastered,3.196233867,50.8107797
432,,55- Rivierstraat- Wevelgem,Disappeared,X,,5061,Popp Remastered,3.19488453,50.80684549
433,,26- Tolbeekstraat- Wevelgem,Incomplete,X,,3977,Popp Remastered,3.192588289,50.80920905
434,,131- Kweekstraat- Wevelgem,Disappeared,X,,2798,Popp Remastered,3.191523023,50.8064715
435,,5- Gaverstraat- Wevelgem,Disappeared,X,,4691.819274,Popp Remastered,3.186338726,50.82657301
436,,7- Kanunnik Decoenestraat- Wevelgem,Disappeared,X,,6880,Popp Remastered,3.185770584,50.8203969
437,,4- 11 Julistraat- Wevelgem,Disappeared,X,,4364,Popp Remastered,3.182101334,50.81909578
438,,32- Kloosterstraat- Wevelgem,Disappeared,X,,3302,Popp Remastered,3.179899783,50.80636678
439,,99- Paridaanstraat- Wevelgem,Incomplete,X,,10131.94246,Popp Remastered,3.173200442,50.8214288
440,,112- Moorselestraat- Wevelgem,Disappeared,X,,4387,Popp Remastered,3.170927873,50.812455
441,,140- Moorselestraat- Wevelgem,Disappeared,X,,4545,Popp Remastered,3.167566366,50.81719637
442,,16- Koningstraat- Wevelgem,Incomplete,X,,2939,Popp Remastered,3.158002642,50.80870044
443,,7- Memlincstraat- Wevelgem,Incomplete,X,,4700,Popp Remastered,3.164108,50.822651
444,,29- Hondschotestraat- Gullegem- Wevelgem,Disappeared,X,,,Ferraris,3.1970574,50.8427455
445,,17- Esdoornstraat- Wevelgem,Disappeared,X,,4194,Popp Remastered,3.174595,50.816388
446,,130- Ledegemstraat- Moorsele- Wevelgem,Complete,X,,,Satellite,3.14827051,50.84776282
447,,32- Kezelberg- Moorsele- Wevelgem,Disappeared,X,,2642,Popp Remastered,3.115152806,50.83391492
449,,61- Ter Beke- Menen 8930,Incomplete,X,,5133,Popp Remastered,3.116641214,50.81485918
450,,Kortewaagstraat- Bedrijventerrein Menen Oost- Menen 8930,Disappeared,X,,3326,Popp Remastered,3.122719827,50.81488072
451,,A19- Menen 8930,Disappeared,X,,6600,Popp Remastered,3.128764354,50.81682612
453,,t Goed Indoye- 507- Menenstraat- Wevelgem,Incomplete,X,,5997,Popp Remastered,3.149761132,50.79959463
455,,27- Sneppestraat- Wevelgem,Incomplete,X,,3220,Popp Remastered,3.15004518,50.80686135
456,,28- Lage Posthoornstraat- Wevelgem,Incomplete,X,,2641,Popp Remastered,3.145443613,50.79786395
457,,Boerendreef- Wevelgem- Menen,Disappeared,X,,3199,Popp Remastered,3.142943996,50.81401208
458,,Moorselestraat- Moorsele- Menen,Disappeared,X,,2206,Popp Remastered,3.13786523,50.81944619
459,,5- Nieuwenhove- Moorsele- Wevelgem,Disappeared,X,,4874,Popp Remastered,3.160384502,50.83700042
460,,353- Overheulestraat- Moorsele- Wevelgem,Incomplete,X,,2758,Popp Remastered,3.153987757,50.8583279
461,,36- Minister De Taeyelaan- Moorsele- Wevelgem,Disappeared,X,,4359,Popp Remastered,3.168417361,50.84195834
463,,35- IJzerpoort- Gullegem- Wevelgem,Incomplete,X,,4876,Popp Remastered,3.185596543,50.83407996
464,,47- Roodbaardstraat- Wevelgem,Disappeared,X,,2018,Popp Remastered,3.18659639,50.81207374
465,,4- Deken Jonckheerestraat- Wevelgem,Disappeared,X,,,Popp Remastered,3.184983001,50.8077373
466,Hoeve Kloosterhof,168- Lauwestraat- Wevelgem,Incomplete,CLOSED,,31581,Popp Remastered,3.18467623,50.80163402
468,,E30- Lar- LAR- Lauwe- Menen 8930,Disappeared,X,,3533,Popp Remastered,3.197992369,50.77891564
469,,Vandenbogaerde NV- Blok P32- Lar- LAR- Lauwe- Menen 8930,Disappeared,X,,1470,Popp Remastered,3.191743328,50.77244215
470,,32-35- Brun Cornet- Rekkem- Menen 8930,Incomplete,X,,3085,Popp Remastered,3.186755457,50.76997034
471,,7- Vlamingstraat- Wevelgem,Disappeared,X,,3131,Popp Remastered,3.211569831,50.81487354
472,,7- Vlamingstraat- Wevelgem,Incomplete,X,,3453,Popp Remastered,3.218557396,50.81579959
473,,26- Moravie- Wevelgem 8501,Incomplete,X,,8101,Popp Remastered,3.219216385,50.81771624
475,,8- Kouterstraat- Wevelgem,Disappeared,X,,1615,Popp Remastered,3.209058853,50.81464382
477,,Leenstraat- Izegem- Lendelede 8870,Incomplete,X,,4724,Popp Remastered,3.203241564,50.895013
478,,Prizma Middenschool Lendelede- 2- Dorpsplein- De Knok- Lendelede 8860,Disappeared,X,,5334.076441,Popp Remastered,3.23808849,50.88515094
479,,8- Burgemeester R. Vandemaeleplein- De Knok- Lendelede 8860,Disappeared,X,,3651.121902,Popp Remastered,3.237020472,50.8852943
481,,Darmstraat- Bavikhove- Harelbeke,Incomplete,X,,6795,Popp Remastered,3.277934649,50.87191702
482,,Veldbosstraat- Lendelede 8860,Disappeared,X,,2017,Popp Remastered,3.257483242,50.87991804
483,,Hulsthoutlaan- Hulste- Lendelede,Disappeared,X,,3047,Popp Remastered,3.271901484,50.8827066
484,,Acanthus- Brugsesteenweg- Hulste- Harelbeke,Disappeared,X,,3641,Popp Remastered,3.273719387,50.8865415
485,,Brouwerijstraat- Stasegem- Harelbeke 8530,Disappeared,X,,4472,Popp Remastered,3.316326486,50.82977428
486,,Tientjesstraat- Harelbeke 8530,Incomplete,X,,4275.100656,Popp Remastered,3.312315738,50.84844372
487,De Goudberg,Goudwinde- Harelbeke 8530,Incomplete,CLOSED,,5685,Popp Remastered,3.32126891,50.85079661
488,,7- Fagotstraat- Harelbeke 8530,Disappeared,X,,5299,Popp Remastered,3.327955652,50.85300344
489,,1- Kleine Brandstraat- Harelbeke- Zwevegem 8530,Incomplete,X,,5578,Popp Remastered,3.347624882,50.8335214
490,,Bekaert- 333- Blokkestraat- Zwevegem 8550,Disappeared,X,,3918,Popp Remastered,3.337804938,50.82086203
491,,LAGO CLUB Zwevegem Fit- 9- Bekaertstraat- Zwevegem 8550,Disappeared,X,,6968,Popp Remastered,3.334318432,50.81610755
492,,10- Hinnestraat- Zwevegem 8550,Incomplete,X,,3186,Popp Remastered,3.326493173,50.81767274
493,,178- Harelbeekstraat- Zwevegem 8550,Disappeared,X,,3153,Popp Remastered,3.325352808,50.82184632
494,,Winkelstraat- Zwevegem 8550,Incomplete,X,,6153,Popp Remastered,3.327214093,50.81162702
495,,73- Ellestraat- Knokke- Zwevegem 8550,Incomplete,X,,3868,Popp Remastered,3.348107666,50.8066325
496,,22- Guldenspoorpad- Kappaert- Zwevegem 8550,Incomplete,X,,5066,Popp Remastered,3.351646728,50.8078584
497,,102- Avelgemstraat- Zwevegem 8550,Disappeared,X,,7526,Popp Remastered,3.337451157,50.80734485
498,,27- Ellestraat- Zwevegem 8550,Disappeared,X,,3766,Popp Remastered,3.342051938,50.8088772
499,,Pijpestraat- Spiere- Spiere-Helkijn 8587,Complete,X,,16673,Popp Remastered,3.348920339,50.72801653
500,Kasteel van Spiere Helkijn,Hellenhoek- Spiere- Spiere-Helkijn 8587,Complete,X,,7663,Popp Remastered,3.354661484,50.7248801
501,,Gaverstraat- Helkijn- Spiere-Helkijn 8587,Incomplete,X,,8532,Popp Remastered,3.368843947,50.73477824
502,,4- Gaaistraat- Deerlijk,Incomplete,X,,2358,Popp Remastered,3.369577975,50.83717108
503,,30- Pontstraat- Deerlijk,Disappeared,X,,4387,Popp Remastered,3.357269904,50.85051301
504,,256- Waregemstraat- Deerlijk,Incomplete,X,,3043,Popp Remastered,3.378045508,50.8559083
505,,Mote- Desselgem- Waregem,Incomplete,X,,4175,Popp Remastered,3.349680582,50.88523216
506,,93- Leemputstraat- Leemput- Desselgem- Waregem,Disappeared,X,,5082,Popp Remastered,3.383943945,50.87081655
507,,Desselgemknokstraat- Leemput- Desselgem- Waregem,Disappeared,X,,3729,Popp Remastered,3.378438737,50.86491835
508,,55- Desselgemknokstraat- Leemput- Desselgem- Waregem,Incomplete,X,,2111,Popp Remastered,3.37892372,50.8678055
509,,Mirakelstraat- Waregem,Disappeared,X,,2799,Popp Remastered,3.397772502,50.87070075
510,,5- Mekeirleweg- Vichte- Anzegem 8570,Disappeared,X,,2695,Popp Remastered,3.390982746,50.83249388
511,,Vierkeerstraat- Heestert- Zwevegem 8551,Incomplete,X,,5048,Popp Remastered,3.405165209,50.78750259
512,,Raaptorfstraat- Heestert- Zwevegem 8551,Disappeared,X,,4998,Popp Remastered,3.415979009,50.77141548
513,,17- Pastoor Verrieststraat- Ingooigem- Anzegem 8570,Disappeared,X,,3084,Popp Remastered,3.434093763,50.81854227
514,,34- Emiel Clausstraat- Sint-Eloois-Vijve- Waregem,Disappeared,X,,863,Popp Remastered,3.408193073,50.90980201
516,,Drogenboomstraat- Waregem,Incomplete,X,,1427,Popp Remastered,3.450058865,50.89839501
517,,1- Borrestraat- Tiegem- Anzegem,Incomplete,X,,5030,Popp Remastered,3.460046884,50.82683094
518,,26 A / 26 B- Ringlaan- Kuurne,Disappeared,X,,3534,Popp Remastered,3.260423145,50.85146038
519,,218- Kortrijkseweg- Dries- Beveren-Leie- Waregem,Disappeared,X,,4038,Popp Remastered,3.347985,50.874324
520,,Bergelen- Moorsele- Wevelgem,Disappeared,X,,3284,Popp Remastered,3.169827375,50.83680738
521,,72- Karrestraat- Moorsele- Wevelgem,Disappeared,X,,4103,Popp Remastered,3.166214743,50.8362495
522,,92- Heerweg- Moorsele- Wevelgem,Disappeared,X,,2146,Popp Remastered,3.171752354,50.83791481
523,,44- Heerweg- Moorsele- Wevelgem,Incomplete,X,,5606,Popp Remastered,3.168561635,50.83807301
524,,Moteweg- Marke,Incomplete,X,,2149,Popp Remastered,3.235926,50.803299
525,,,Incomplete,X,,1471.338443,Popp Remastered,3.465787298,50.89520516
526,,,Incomplete,X,,3053,Popp Remastered,3.453739132,50.82862902
529,,,Incomplete,X,,1977,Popp Remastered,3.370857081,50.8525058
531,,,Disappeared,X,,2141,Popp Remastered,3.362271236,50.82300211
532,,,Disappeared,X,,2773,Popp Remastered,3.349085747,50.82696371
533,,,Disappeared,X,,,Ferraris,3.342066093,50.87425326
535,,,Disappeared,X,,4181,Popp Remastered,3.318466156,50.78458811
536,,,Disappeared,X,,5039.68786,Popp Remastered,3.293728855,50.82732766
537,,,Disappeared,X,,5107,Popp Remastered,3.282618113,50.88040074
539,,,Incomplete,X,,5946,Popp Remastered,3.241806838,50.89007994
542,,,Disappeared,X,,5999,Popp Remastered,3.208620299,50.8419613
543,,,Incomplete,X,,5321,Popp Remastered,3.20138737,50.88234253
544,,,Disappeared,X,,,Ferraris,3.194516362,50.85642019
545,,,Disappeared,X,,3862,Popp Remastered,3.191812783,50.85204138
547,,,Incomplete,X,,4395,Popp Remastered,3.17064952,50.8014524
548,,,Incomplete,X,,4121,Popp Remastered,3.168123224,50.7765017
549,,,Disappeared,X,,2332,Popp Remastered,3.162070845,50.80939616
551,,,Incomplete,X,,,Ferraris,3.15103749,50.84098759
555,,,Disappeared,X,,728,Popp Remastered,3.095636277,50.79167544
556,,,Incomplete,X,,4484,Popp Remastered,3.092312204,50.79814695
557,,,Incomplete,X,,5797,Popp Remastered,3.091979797,50.79929548
558,Regenboog Park,,Complete,CLOSED,,5293.139414,Popp Remastered,3.4308781,50.8838017
559,Wagenhuis Kapel O.L.V. Ten Spieghele,Cistercienzerplein Kortrijk,Incomplete,OPEN,,,Satellite,3.2500776,50.8044545
560,Ten Rooden Duifhuize ,Moenstraat 10 Zwevegem,Incomplete,OPEN,,,Satellite,3.3782963,50.7584924
561,,,Disappeared,X,,4106,Popp Remastered,3.3560137,50.8523466
562,,,Disappeared,X,,2874,Popp Remastered,3.3632105,50.8486056
563,,,Disappeared,X,,4110,Popp Remastered,3.407013429,50.86339863
565,,,Disappeared,X,,4788,Popp Remastered,3.200005655,50.82020228
566,,Burgemeester Pyckestraat 8500,Incomplete,X,,4085,Popp Remastered,3.267861,50.821187
567,,,Disappeared,X,,1497,Popp Remastered,3.372095914,50.83662898
568,,,Incomplete,X,,2408,Popp Remastered,3.196565107,50.85175685
569,Kasteel Van Moorsele,,Complete,CLOSED,,,Satellite,3.163273632,50.8416519
